sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Она очень расстроена из-за этого,She is really upset about it,[ʃi: ɪz ˈrɪəli ʌpˈset əˈbaʊt ɪt],B2_L222_S2.mp3
3,Она участвовала в том конкурсе,She participated in that competition,[ʃi: pɑ:ˈtɪsɪpeɪtɪd ɪn ðæt ˌkɒmpɪˈtɪʃən],B2_L222_S3.mp3
4,Это место всегда переполнено туристами,This place is always crowded with tourists,[ðɪs pleɪs ɪz ˈɔ:lweɪz ˈkraʊdɪd wɪð ˈtʊərɪsts],B2_L222_S4.mp3
5,Я хотел бы поблагодарить тебя за твою поддержку и руководство,I'd like to thank you for your support and guidance,[aɪd laɪk tu: θæŋk ju: fɔ: jɔ: səˈpɔ:t ænd ˈgaɪdəns],B2_L222_S5.mp3
6,Мне не терпится получить твой отзыв,I'm eager to get your feedback,[aɪm ˈi:gə tu: get jɔ: ˈfi:dbæk],B2_L222_S6.mp3
7,Это изменение имело очень положительное влияние на нее,This change had a very positive influence on her,[ðɪs ʧeɪnʤ hæd ə ˈveri ˈpɒzətɪv ˈɪnflʊəns ɒn hɜ:],B2_L222_S7.mp3
8,Это напоминает мне о моем детстве,It reminds me of my childhood,[ɪt ˈrɪmaɪndz mi: ɒv maɪ ˈʧaɪldhʊd],B2_L222_S8.mp3
9,Она не подходит для этой работы,She isn't qualified for this job,[ʃi: ˈɪznt ˈkwɒlɪfaɪd fɔ: ðɪs ʤɒb],B2_L222_S9.mp3
10,Он жаждет их одобрения,He is eager for their approval,[hi: ɪz ˈi:gə fɔ: ðeər əˈpru:vəl],B2_L222_S10.mp3
11,Они не могли повлиять на то решение,They couldn't influence that decision,[ðeɪ ˈkʊdnt ˈɪnflʊəns ðæt dɪˈsɪʒən],B2_L222_S11.mp3
12,Она жаждет славы и общественного признания,She is eager for fame and public recognition,[ʃi: ɪz ˈi:gə fɔ: feɪm ænd ˈpʌblɪk ˌrekəgˈnɪʃən],B2_L222_S12.mp3
13,Он осужден за свое поведение,He is condemned for his behaviour,[hi: ɪz kənˈdemd fɔ: hɪz bɪˈheɪvjə],B2_L222_S13.mp3
14,Он жаждет возможности учиться за границей,He is eager for a chance to study abroad,[hi: ɪz ˈi:gə fɔ: ə ʧɑ:ns tu: ˈstʌdi əˈbrɔ:d],B2_L222_S14.mp3
15,Они не имели никакого влияния на это решение,They didn't have any influence on this decision,[ðeɪ dɪdnt hæv ˈeni ˈɪnflʊəns ɒn ðɪs dɪˈsɪʒən],B2_L222_S15.mp3
16,Они молятся о мире,They pray for peace,[ðeɪ preɪ fɔ: pi:s],B2_L222_S16.mp3
17,Это напоминает ему о его прошлом,It reminds him of his past,[ɪt ˈrɪmaɪndz hɪm ɒv hɪz pɑ:st],B2_L222_S17.mp3
18,Спасибо за твое время!,Thank you for your time!,[θæŋk ju: fɔ: jɔ: taɪm!],B2_L222_S18.mp3
19,Какие доказательства ее вины?,What is the proof of her guilt?,[wɒt ɪz ðə pru:f ɒv hɜ: gɪlt?],B2_L222_S19.mp3
20,Я не подписан на эту новостную рассылку,I am not subscribed to this newsletter,[aɪ æm nɒt səbˈskraɪbd tu: ðɪs ˈnju:zˌletə],B2_L222_S20.mp3
21,Он хорошо подходит для этой работы,He is well qualified for this job,[hi: ɪz wel ˈkwɒlɪfaɪd fɔ: ðɪs ʤɒb],B2_L222_S21.mp3
22,Что является доказательством этого?,What is the proof of it?,[wɒt ɪz ðə pru:f ɒv ɪt?],B2_L222_S22.mp3
23,Она молится Богу о помощи,She prays to God for help,[ʃi: preɪz tu: gɒd fɔ: help],B2_L222_S23.mp3
24,Почему ты так убежден в его невиновности?,Why are you so convinced of his innocence?,[waɪ ɑ: ju: səʊ kənˈvɪnst ɒv hɪz ˈɪnəsəns?],B2_L222_S24.mp3
25,У тебя есть доказательства этого?,Do you have any proof of it?,[du: ju: hæv ˈeni pru:f ɒv ɪt?],B2_L222_S25.mp3
26,Большое спасибо за твои добрые слова!,Thanks a lot for your kind words!,[θæŋks ə lɒt fɔ: jɔ: kaɪnd wɜ:dz!],B2_L222_S26.mp3
27,Он женился на ней десять лет назад,He married her ten years ago,[hi: ˈmærɪd hɜ: ten jɪəz əˈgəʊ],B2_L222_S27.mp3
28,Она привыкла работать сверхурочно,She is used to working overtime,[ʃi: ɪz ju:zd tu: ˈwɜ:kɪŋ ˈəʊvətaɪm],B2_L222_S28.mp3
29,Он намекнул на это во время нашего разговора,He hinted at it during our conversation,[hi: ˈhɪntɪd æt ɪt ˈdjʊərɪŋ ˈaʊə ˌkɒnvəˈseɪʃən],B2_L222_S29.mp3
30,Что является доказательством его невиновности?,What is the proof of his innocence?,[wɒt ɪz ðə pru:f ɒv hɪz ˈɪnəsəns?],B2_L222_S30.mp3
31,Улицы переполнены людьми,The streets are crowded with people,[ðə stri:ts ɑ: ˈkraʊdɪd wɪð ˈpi:pl],B2_L222_S31.mp3
32,Большое спасибо за твое внимание!,Thanks a lot for your attention!,[θæŋks ə lɒt fɔ: jɔ: əˈtenʃn!],B2_L222_S32.mp3
33,У нее страсть к музыке,She has a passion for music,[ʃi: hæz ə ˈpæʃən fɔ: ˈmju:zɪk],B2_L222_S33.mp3
34,Он был осужден за это,He was condemned for it,[hi: wɒz kənˈdemd fɔ: ɪt],B2_L222_S34.mp3
35,Он подходит для этой должности,He is qualified for this position,[hi: ɪz ˈkwɒlɪfaɪd fɔ: ðɪs pəˈzɪʃən],B2_L222_S35.mp3
36,Это напоминает мне о некоторых незабываемых моментах в моей жизни,It reminds me of some unforgettable moments in my life,[ɪt ˈrɪmaɪndz mi: ɒv sʌm ˌʌnfəˈgetəbl ˈməʊmənts ɪn maɪ laɪf],B2_L222_S36.mp3
37,Я убежден в его невиновности,I am convinced of his innocence,[aɪ æm kənˈvɪnst ɒv hɪz ˈɪnəsəns],B2_L222_S37.mp3
38,Ему не терпится применить свои знания,He is eager to apply his knowledge,[hi: ɪz ˈi:gə tu: əˈplaɪ hɪz ˈnɒlɪʤ],B2_L222_S38.mp3
39,Я жажду знаний,I am eager for knowledge,[aɪ æm ˈi:gə fɔ: ˈnɒlɪʤ],B2_L222_S39.mp3
40,"Мне потребовалось некоторое время, чтобы приспособиться к этим условиям",It took me some time to adapt to these conditions,[ɪt tʊk mi: sʌm taɪm tu: əˈdæpt tu: ði:z kənˈdɪʃənz],B2_L222_S40.mp3
41,"Большинство студентов говорит, что с русского на английский переводить сложнее, чем наоборот",Most students say that it's more difficult to translate from Russian into English than vice versa,[məʊst ˈstju:dənts seɪ ðæt ɪts mɔ: ˈdɪfɪkəlt tu: trænsˈleɪt frɒm ˈrʌʃn ˈɪntu: ˈɪŋglɪʃ ðæn vaɪs ˈvɜ:sə],B2_L222_S41.mp3
42,"Очень интересно узнать, на какие каналы ты подписан",It's very interesting to know what channels you are subscribed to,[ɪts ˈveri ˈɪntrɪstɪŋ tu: nəʊ wɒt ˈʧænlz ju: ɑ: səbˈskraɪbd tu:],B2_L222_S42.mp3
43,Он выразил недовольство качеством этой услуги,He expressed dissatisfaction with the quality of this service,[hi: ɪksˈprest dɪsˌsætɪsˈfækʃən wɪð ðə ˈkwɒlɪti ɒv ðɪs ˈsɜ:vɪs],B2_L222_S43.mp3
44,Я убежден в необходимости благоразумия в любого рода ситуации,I am convinced of the necessity of prudence in any kind of situation,[aɪ æm kənˈvɪnst ɒv ðə nɪˈsesɪti ɒv ˈpru:dəns ɪn ˈeni kaɪnd ɒv ˌsɪtjʊˈeɪʃən],B2_L222_S44.mp3
