sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Я совсем не пью алкоголь,I don’t drink alcohol at all,[aɪ dəʊnt drɪŋk ˈælkəhɒl æt ɔ:l],A1_L60_S2.mp3
3,Я не на работе сейчас,I’m not at work now,[aɪm nɒt æt wɜ:k naʊ],A1_L60_S3.mp3
4,Они не больны,They aren’t sick,[ðeɪ ɑ:nt sɪk],A1_L60_S4.mp3
5,Он не студент,He isn’t a student,[hi: ˈɪznt ə ˈstju:dənt],A1_L60_S5.mp3
6,Он не нервничает,He doesn't feel nervous,[hi: dʌznt fi:l ˈnɜ:vəs],A1_L60_S6.mp3
7,Это дешевое ожерелье,It's a cheap necklace,[ɪts ə ʧi:p ˈneklɪs],A1_L60_S7.mp3
8,Они не чувствуют себя плохо,They don't feel bad,[ðeɪ dəʊnt fi:l bæd],A1_L60_S8.mp3
9,Это не дорогие часы,It isn't an expensive watch,[ɪt ˈɪznt ən ɪksˈpensɪv wɒʧ],A1_L60_S9.mp3
10,Они не учатся за границей,They don't study abroad,[ðeɪ dəʊnt ˈstʌdi əˈbrɔ:d],A1_L60_S10.mp3
11,Он не работает переводчиком,He doesn't work as a translator,[hi: dʌznt wɜ:k æz ə trænsˈleɪtə],A1_L60_S11.mp3
12,Это не важная вещь,It isn't an important thing,[ɪt ˈɪznt ən ɪmˈpɔ:tənt θɪŋ],A1_L60_S12.mp3
13,Он не болен,He isn't sick,[hi: ˈɪznt sɪk],A1_L60_S13.mp3
14,Это не очень легкая задача для меня,It isn't a very easy task for me,[ɪt ˈɪznt ə ˈveri ˈi:zi tɑ:sk fɔ: mi:],A1_L60_S14.mp3
15,Это не важная вещь,It's an unimportant thing,[ɪts ən ˌʌnɪmˈpɒtənt θɪŋ],A1_L60_S15.mp3
16,Это не главная задача,It isn't the main task,[ɪt ˈɪznt ðə meɪn tɑ:sk],A1_L60_S16.mp3
17,Он не хирург,He isn't a surgeon,[hi: ˈɪznt ə ˈsɜ:ʤən],A1_L60_S17.mp3
18,Это не очень хорошая клиника,It isn't a very good clinic,[ɪt ˈɪznt ə ˈveri gʊd ˈklɪnɪk],A1_L60_S18.mp3
19,Он не работает дизайнером,He doesn't work as a designer,[hi: dʌznt wɜ:k æz ə dɪˈzaɪnə],A1_L60_S19.mp3
20,Мне это совсем не интересно,It isn't interesting for me at all,[ɪt ˈɪznt ˈɪntrɪstɪŋ fɔ: mi: æt ɔ:l],A1_L60_S20.mp3
21,Он не инженер,He isn't an engineer,[hi: ˈɪznt ən ˌenʤɪˈnɪə],A1_L60_S21.mp3
22,Это не кажется очень хорошей клиникой,It doesn't seem a very good clinic,[ɪt dʌznt si:m ə ˈveri gʊd ˈklɪnɪk],A1_L60_S22.mp3
23,Они не больны,They aren't ill,[ðeɪ ɑ:nt ɪl],A1_L60_S23.mp3
24,Это не кажется неэффективным,It doesn't seem ineffective,[ɪt dʌznt si:m ˌɪnɪˈfektɪv],A1_L60_S24.mp3
25,Они не за границей сейчас,They aren't abroad now,[ðeɪ ɑ:nt əˈbrɔ:d naʊ],A1_L60_S25.mp3
26,Он не работает инженером,He doesn't work as an engineer,[hi: dʌznt wɜ:k æz ən ˌenʤɪˈnɪə],A1_L60_S26.mp3
27,Это не плохая клиника,It isn't a bad clinic,[ɪt ˈɪznt ə bæd ˈklɪnɪk],A1_L60_S27.mp3
