sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Она подождет нас?,Will she wait for us?,[wɪl ʃi: weɪt fɔ: ʌs?],A2_L103_S2.mp3
3,Он прибыл на вечеринку?,Did he arrive at the party?,[dɪd hi: əˈraɪv æt ðə ˈpɑ:ti?],A2_L103_S3.mp3
4,Я попросил совета,I asked for advice,[aɪ ɑ:skt fɔ: ədˈvaɪs],A2_L103_S4.mp3
5,Когда ты прибудешь в аэропорт?,When will you arrive at the airport?,[wen wɪl ju: əˈraɪv æt ði ˈeəpɔ:t?],A2_L103_S5.mp3
6,Ты подписан на тот канал?,Are you subscribed to that channel?,[ɑ: ju: səbˈskraɪbd tu: ðæt ˈʧænl?],A2_L103_S6.mp3
7,Все зависит от меня,Everything depends on me,[ˈevrɪθɪŋ dɪˈpendz ɒn mi:],A2_L103_S7.mp3
8,Мой отец верит в бога,My father believes in God,[maɪ ˈfɑ:ðə bɪˈli:vz ɪn gɒd],A2_L103_S8.mp3
9,Я не могу положиться на него,I can't rely on him,[aɪ kɑ:nt rɪˈlaɪ ɒn hɪm],A2_L103_S9.mp3
10,Он хочет вложить свои деньги в этот проект,He wants to invest his money in this project,[hi: wɒnts tu: ɪnˈvest hɪz ˈmʌni ɪn ðɪs ˈprɒʤekt],A2_L103_S10.mp3
11,Ты можешь рассчитывать на его помощь,You can count on his help,[ju: kæn kaʊnt ɒn hɪz help],A2_L103_S11.mp3
12,Когда ты прибыл в Соединенные Штаты?,When did you arrive in the United States?,[wen dɪd ju: əˈraɪv ɪn ði: jʊˈnaɪtɪd steɪts?],A2_L103_S12.mp3
13,Как он отреагирует на это?,How will he react to it?,[haʊ wɪl hi: ri:ˈækt tu: ɪt?],A2_L103_S13.mp3
14,Я потратил так много денег на это,I spent so much money on it,[aɪ spent səʊ mʌʧ ˈmʌni ɒn ɪt],A2_L103_S14.mp3
15,Ты всегда можешь рассчитывать на мою поддержку,You can always count on my support,[ju: kæn ˈɔ:lweɪz kaʊnt ɒn maɪ səˈpɔ:t],A2_L103_S15.mp3
16,"Она улыбнулась ему, и он улыбнулся ей",She smiled at him and he smiled at her,[ʃi: smaɪld æt hɪm ænd hi: smaɪld æt hɜ:],A2_L103_S16.mp3
17,Что зависит от меня?,What depends on me?,[wɒt dɪˈpendz ɒn mi:?],A2_L103_S17.mp3
18,Я разговаривал с ней,I talked to her,[aɪ tɔ:kt tu: hɜ:],A2_L103_S18.mp3
19,Почему ты смеешься над этим?,Why do you laugh at it?,[waɪ du: ju: lɑ:f æt ɪt?],A2_L103_S19.mp3
20,Подожди меня немного!,Wait for me a bit!,[weɪt fɔ: mi: ə bɪt!],A2_L103_S20.mp3
21,Ты будешь его ждать?,Will you wait for him?,[wɪl ju: weɪt fɔ: hɪm?],A2_L103_S21.mp3
22,Подожди секунду!,Wait for a second!,[weɪt fɔ: ə ˈsekənd!],A2_L103_S22.mp3
23,Он не может ждать этого больше,He can't wait for it any longer,[hi: kɑ:nt weɪt fɔ: ɪt ˈeni ˈlɒŋgə],A2_L103_S23.mp3
24,Ты можешь рассчитывать на меня,You can count on me,[ju: kæn kaʊnt ɒn mi:],A2_L103_S24.mp3
25,Я подписан на этот канал,I am subscribed to this channel,[aɪ æm səbˈskraɪbd tu: ðɪs ˈʧænl],A2_L103_S25.mp3
26,Ты подписался на этот канал?,Did you subscribe to this channel?,[dɪd ju: səbˈskraɪb tu: ðɪs ˈʧænl?],A2_L103_S26.mp3
27,Я разговаривал с ним вчера,I talked to him yesterday,[aɪ tɔ:kt tu: hɪm ˈjestədeɪ],A2_L103_S27.mp3
28,Как он реагирует на эту критику?,How does he react to this criticism?,[haʊ dʌz hi: ri:ˈækt tu: ðɪs ˈkrɪtɪsɪzm?],A2_L103_S28.mp3
29,Ты платишь за свое образование?,Do you pay for your education?,[du: ju: peɪ fɔ: jɔ: ˌedju:ˈkeɪʃən?],A2_L103_S29.mp3
30,Это принадлежит ей?,Does it belong to her?,[dʌz ɪt bɪˈlɒŋ tu: hɜ:?],A2_L103_S30.mp3
31,Он попросил помощи,He asked for help,[hi: ɑ:skt fɔ: help],A2_L103_S31.mp3
32,Посмотри на эту страницу!,Look at this page!,[lʊk æt ðɪs peɪʤ!],A2_L103_S32.mp3
33,Я больше не хочу ждать этого,I don't want to wait for it anymore,[aɪ dəʊnt wɒnt tu: weɪt fɔ: ɪt ˌeniˈmɔ:],A2_L103_S33.mp3
34,Он извинился за это,He apologised for it,[hi: əˈpɒləʤaɪzd fɔ: ɪt],A2_L103_S34.mp3
35,Как он отреагировал на это?,How did he react to it?,[haʊ dɪd hi: ri:ˈækt tu: ɪt?],A2_L103_S35.mp3
36,Мы обычно ждем этого с нетерпением,We usually wait for it with impatience,[wi: ˈju:ʒʊəli weɪt fɔ: ɪt wɪð ɪmˈpeɪʃəns],A2_L103_S36.mp3
37,Это случилось со мной очень неожиданно,It happened to me very unexpectedly,[ɪt ˈhæpənd tu: mi: ˈveri ˌʌnɪksˈpektɪdli],A2_L103_S37.mp3
38,Я подписался на этот канал,I subscribed to this channel,[aɪ səbˈskraɪbd tu: ðɪs ˈʧænl],A2_L103_S38.mp3
39,Послушай его!,Listen to him!,[ˈlɪsn tu: hɪm!],A2_L103_S39.mp3
40,Он не платит за это,He doesn't pay for it,[hi: dʌznt peɪ fɔ: ɪt],A2_L103_S40.mp3
