sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,"Прежде всего, я хотел бы поблагодарить его за все","First of all, I'd like to thank him for everything","[fɜ:st ɒv ɔ:l, aɪd laɪk tu: θæŋk hɪm fɔ: ˈevrɪθɪŋ]",A2_L106_S2.mp3
3,Он наконец сдал этот экзамен,He passed this exam at last,[hi: pɑ:st ðɪs ɪgˈzæm æt lɑ:st],A2_L106_S3.mp3
4,Я много говорил по телефону в прошлом,I talked on the phone a lot in the past,[aɪ tɔ:kt ɒn ðə fəʊn ə lɒt ɪn ðə pɑ:st],A2_L106_S4.mp3
5,Он уехал в Китай по делам,He went to China on business,[hi: went tu: ˈʧaɪnə ɒn ˈbɪznɪs],A2_L106_S5.mp3
6,Это на юге,It's in the south,[ɪts ɪn ðə saʊθ],A2_L106_S6.mp3
7,Программа начнется в полночь,The program will start at midnight,[ðə ˈprəʊgræm wɪl stɑ:t æt ˈmɪdnaɪt],A2_L106_S7.mp3
8,Он делает это для удовольствия,He does it for pleasure,[hi: dʌz ɪt fɔ: ˈpleʒə],A2_L106_S8.mp3
9,Это место на севере,This place is in the north,[ðɪs pleɪs ɪz ɪn ðə nɔ:θ],A2_L106_S9.mp3
10,Я приду туда вовремя,I'll come there on time,[aɪl kʌm ðeər ɒn taɪm],A2_L106_S10.mp3
11,Мне нужно проверить эту информацию в первую очередь,I need to check this information first of all,[aɪ ni:d tu: ʧek ðɪs ˌɪnfəˈmeɪʃən fɜ:st ɒv ɔ:l],A2_L106_S11.mp3
12,Тебе не нужно учить все эти предложения наизусть,You don't need to learn all these sentences by heart,[ju: dəʊnt ni:d tu: lɜ:n ɔ:l ði:z ˈsentənsɪz baɪ hɑ:t],A2_L106_S12.mp3
13,"Прежде всего, я хотел бы поблагодарить тебя за все","First of all, I'd like to thank you for everything","[fɜ:st ɒv ɔ:l, aɪd laɪk tu: θæŋk ju: fɔ: ˈevrɪθɪŋ]",A2_L106_S13.mp3
14,Я позвонил ему по ошибке,I called him by mistake,[aɪ kɔ:ld hɪm baɪ mɪsˈteɪk],A2_L106_S14.mp3
15,Я вернусь до полуночи,I'll come back before midnight,[aɪl kʌm bæk bɪˈfɔ: ˈmɪdnaɪt],A2_L106_S15.mp3
16,Это на востоке,It's in the east,[ɪts ɪn ði i:st],A2_L106_S16.mp3
17,Она знает эту песню наизусть,She knows this song by heart,[ʃi: nəʊz ðɪs sɒŋ baɪ hɑ:t],A2_L106_S17.mp3
18,Мне сначала не понравилось это место,I didn't like this place at first,[aɪ dɪdnt laɪk ðɪs pleɪs æt fɜ:st],A2_L106_S18.mp3
19,"На самом деле, это не так","In fact, it isn't so","[ɪn fækt, ɪt ˈɪznt səʊ]",A2_L106_S19.mp3
20,Это на севере,It's in the north,[ɪts ɪn ðə nɔ:θ],A2_L106_S20.mp3
21,Они наконец выиграли,They won at last,[ðeɪ wʌn æt lɑ:st],A2_L106_S21.mp3
22,Мы могли бы встретиться в полдень,We could meet at midday,[wi: kʊd mi:t æt ˈmɪddeɪ],A2_L106_S22.mp3
23,Поначалу мне это не понравилось,"At first, I didn't like it","[æt fɜ:st, aɪ dɪdnt laɪk ɪt]",A2_L106_S23.mp3
24,Что мы будем есть на обед?,What will we eat for lunch?,[wɒt wɪl wi: i:t fɔ: lʌnʧ?],A2_L106_S24.mp3
25,Церковь находится на востоке,The church is in the east,[ðə ʧɜ:ʧ ɪz ɪn ði i:st],A2_L106_S25.mp3
26,Она выучила этот текст наизусть,She learnt this text by heart,[ʃi: lɜ:nt ðɪs tekst baɪ hɑ:t],A2_L106_S26.mp3
27,Она на диете,She's on a diet,[ʃi:z ɒn ə ˈdaɪət],A2_L106_S27.mp3
28,Это находится на западе,It's in the west,[ɪts ɪn ðə west],A2_L106_S28.mp3
29,Я отправил это тебе по ошибке,I sent it to you by mistake,[aɪ sent ɪt tu: ju: baɪ mɪsˈteɪk],A2_L106_S29.mp3
30,Я поехал в Соединенные Штаты по делам,I went to the United States on business,[aɪ went tu: ði: jʊˈnaɪtɪd steɪts ɒn ˈbɪznɪs],A2_L106_S30.mp3
31,Это произошло случайно,It happened by chance,[ɪt ˈhæpənd baɪ ʧɑ:ns],A2_L106_S31.mp3
32,Я встретил его там случайно,I met him there by chance,[aɪ met hɪm ðeə baɪ ʧɑ:ns],A2_L106_S32.mp3
33,Что было на завтрак?,What was for breakfast?,[wɒt wɒz fɔ: ˈbrekfəst?],A2_L106_S33.mp3
34,Аэропорт находится на юге,The airport is in the south,[ði ˈeəpɔ:t ɪz ɪn ðə saʊθ],A2_L106_S34.mp3
35,Что ты будешь есть на обед?,What will you eat for lunch?,[wɒt wɪl ju: i:t fɔ: lʌnʧ?],A2_L106_S35.mp3
36,Бар находится на западе,The bar is in the west,[ðə bɑ:r ɪz ɪn ðə west],A2_L106_S36.mp3
37,"На самом деле, это очень сложное решение","In fact, it's a very difficult decision","[ɪn fækt, ɪts ə ˈveri ˈdɪfɪkəlt dɪˈsɪʒən]",A2_L106_S37.mp3
38,Этот собор находится на севере,This cathedral is in the north,[ðɪs kəˈθi:drəl ɪz ɪn ðə nɔ:θ],A2_L106_S38.mp3
39,Я в основном учу английский для удовольствия,I mostly learn English for pleasure,[aɪ ˈməʊstli lɜ:n ˈɪŋglɪʃ fɔ: ˈpleʒə],A2_L106_S39.mp3
40,Я отправил тебе это по ошибке,I sent you it by mistake,[aɪ sent ju: ɪt baɪ mɪsˈteɪk],A2_L106_S40.mp3
41,Мы можем встретиться в полдень,We can meet at noon,[wi: kæn mi:t æt nu:n],A2_L106_S41.mp3
42,Мы разговаривали по телефону,We talked on the phone,[wi: tɔ:kt ɒn ðə fəʊn],A2_L106_S42.mp3
43,"Он предпочитает изучать английский язык самостоятельно, потому что он находит это очень эффективным",He prefers to learn English on his own because he finds it very effective,[hi: priˈfɜ:z tu: lɜ:n ˈɪŋglɪʃ ɒn hɪz əʊn bɪˈkɒz hi: faɪndz ɪt ˈveri ɪˈfektɪv],A2_L106_S43.mp3
44,Могу я заплатить кредитной картой?,Can I pay by credit card?,[kæn aɪ peɪ baɪ ˈkredɪt kɑ:d?],A2_L106_S44.mp3
45,"Я не думаю, что он в опасности",I don't think that he is in danger,[aɪ dəʊnt θɪŋk ðæt hi: ɪz ɪn ˈdeɪnʤə],A2_L106_S45.mp3
46,"Во всяком случае, тебе нужно подумать об этом","At any rate, you need to think about it","[æt ˈeni reɪt, ju: ni:d tu: θɪŋk əˈbaʊt ɪt]",A2_L106_S46.mp3
47,Мы обсуждали это в начале,We discussed it in the beginning,[wi: dɪsˈkʌst ɪt ɪn ðə bɪˈgɪnɪŋ],A2_L106_S47.mp3
48,Это было в начале,It was in the beginning,[ɪt wɒz ɪn ðə bɪˈgɪnɪŋ],A2_L106_S48.mp3
49,"В целом, это очень эффективная мера","On the whole, it's a very effective measure","[ɒn ðə həʊl, ɪts ə ˈveri ɪˈfektɪv ˈmeʒə]",A2_L106_S49.mp3
50,"Например, ты можешь сделать это сегодня","For example, you can do it today","[fɔ: ɪgˈzɑ:mpl, ju: kæn du: ɪt təˈdeɪ]",A2_L106_S50.mp3
51,Он очень занят в данный момент,He's very busy at the moment,[hi:z ˈveri ˈbɪzi æt ðə ˈməʊmənt],A2_L106_S51.mp3
52,"В целом, результат удовлетворительный","On the whole, the result is satisfactory","[ɒn ðə həʊl, ðə rɪˈzʌlt ɪz ˌsætɪsˈfæktəri]",A2_L106_S52.mp3
53,Она на очень строгой диете,She's on a very strict diet,[ʃi:z ɒn ə ˈveri strɪkt ˈdaɪət],A2_L106_S53.mp3
