sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Он видит тебя сейчас,He sees you now,[hi: si:z ju: naʊ],A2_L114_S2.mp3
3,Я помню это очень хорошо сейчас,I remember it very well now,[aɪ rɪˈmembər ɪt ˈveri wel naʊ],A2_L114_S3.mp3
4,Я желаю этого сейчас,I wish it now,[aɪ wɪʃ ɪt naʊ],A2_L114_S4.mp3
5,Теперь это весит четыре килограмма,It weighs four kilos now,[ɪt weɪz fɔ: ˈki:ləʊz naʊ],A2_L114_S5.mp3
6,Я действительно ненавижу это сейчас,I really hate it now,[aɪ ˈrɪəli heɪt ɪt naʊ],A2_L114_S6.mp3
7,Сейчас ему не хватает опыта работы,He lacks work experience now,[hi: læks wɜ:k ɪksˈpɪərɪəns naʊ],A2_L114_S7.mp3
8,Что тебе нужно сделать сейчас?,What do you need to do now?,[wɒt du: ju: ni:d tu: du: naʊ?],A2_L114_S8.mp3
9,Он обычно очень резко критикует других людей,He usually criticizes other people very sharply,[hi: ˈju:ʒʊəli ˈkrɪtɪsaɪzɪz ˈʌðə ˈpi:pl ˈveri ˈʃɑ:pli],A2_L114_S9.mp3
10,Эти мужчины сейчас тратят время,These men are wasting time now,[ði:z men ɑ: ˈweɪstɪŋ taɪm naʊ],A2_L114_S10.mp3
11,Он сейчас обменивает деньги,He is exchanging money now,[hi: ɪz ɪksˈʧeɪnʤɪŋ ˈmʌni naʊ],A2_L114_S11.mp3
12,Он должен ему очень большую сумму денег сейчас,He owes him a very big sum of money now,[hi: əʊz hɪm ə ˈveri bɪg sʌm ɒv ˈmʌni naʊ],A2_L114_S12.mp3
13,Они анализируют эти цифры сейчас,They are analysing these figures now,[ðeɪ ɑ: ˈænəlaɪzɪŋ ði:z ˈfɪgəz naʊ],A2_L114_S13.mp3
14,Я иду на некоторые риски сейчас,I am taking some risks now,[aɪ æm ˈteɪkɪŋ sʌm rɪsks naʊ],A2_L114_S14.mp3
15,Ты действительно заслуживаешь этого сейчас,You really deserve it now,[ju: ˈrɪəli dɪˈzɜ:v ɪt naʊ],A2_L114_S15.mp3
16,Я очень хочу этого сейчас,I really want it now,[aɪ ˈrɪəli wɒnt ɪt naʊ],A2_L114_S16.mp3
17,Он одалживает ему очень большие деньги сейчас,He is lending him very big money now,[hi: ɪz ˈlendɪŋ hɪm ˈveri bɪg ˈmʌni naʊ],A2_L114_S17.mp3
18,Он паркует свою машину сейчас,He is parking his car now,[hi: ɪz ˈpɑ:kɪŋ hɪz kɑ: naʊ],A2_L114_S18.mp3
19,Он пытается это понять сейчас,He is trying to understand it now,[hi: ɪz ˈtraɪɪŋ tu: ˌʌndəˈstænd ɪt naʊ],A2_L114_S19.mp3
20,Я сейчас с ним не согласен,I disagree with him now,[aɪ ˌdɪsəˈgri: wɪð hɪm naʊ],A2_L114_S20.mp3
21,Его предложение сейчас звучит очень заманчиво,His offer sounds very attractive now,[hɪz ˈɒfə saʊndz ˈveri əˈtræktɪv naʊ],A2_L114_S21.mp3
22,Он нуждается в этом сейчас,He needs it now,[hi: ni:dz ɪt naʊ],A2_L114_S22.mp3
