sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,"Более того, это занимает много времени","Moreover, it takes plenty of time","[mɔ:ˈrəʊvə, ɪt teɪks ˈplenti ɒv taɪm]",B2_L228_S2.mp3
3,"Она действительно хотела бы сказать, что она ненавидит делать такого рода вещи",She'd really like to say that she hates doing this kind of things,[ʃi:d ˈrɪəli laɪk tu: seɪ ðæt ʃi: heɪts ˈdu:ɪŋ ðɪs kaɪnd ɒv θɪŋz],B2_L228_S3.mp3
4,"По правде говоря, я так рад этому результату","To tell the truth, I'm so happy about this result","[tu: tel ðə tru:θ, aɪm səʊ ˈhæpi əˈbaʊt ðɪs rɪˈzʌlt]",B2_L228_S4.mp3
5,"Ну, это довольно длинная история","Well, it's quite a long story","[wel, ɪts kwaɪt ə lɒŋ ˈstɔ:ri]",B2_L228_S5.mp3
6,Я в этом не сомневаюсь,I have no doubt about it,[aɪ hæv nəʊ daʊt əˈbaʊt ɪt],B2_L228_S6.mp3
7,Я не могу дать тебе определенный ответ,I can't give you a definite answer,[aɪ kɑ:nt gɪv ju: ə ˈdefɪnɪt ˈɑ:nsə],B2_L228_S7.mp3
8,"Ты знаешь, чрезвычайно важно говорить по-английски на регулярной основе","You know, it's extremely important to speak English on a regular basis","[ju: nəʊ, ɪts ɪksˈtri:mli ɪmˈpɔ:tənt tu: spi:k ˈɪŋglɪʃ ɒn ə ˈregjʊlə ˈbeɪsɪs]",B2_L228_S8.mp3
9,"В любом случае, мы не можем повернуть время вспять","Anyway, we can't turn back time","[ˈenɪweɪ, wi: kɑ:nt tɜ:n bæk taɪm]",B2_L228_S9.mp3
10,"Моя идея заключается в том, что нам нужно проверить это еще раз",My idea is that we need to check it one more time,[maɪ aɪˈdɪə ɪz ðæt wi: ni:d tu: ʧek ɪt wʌn mɔ: taɪm],B2_L228_S10.mp3
11,"Честно говоря, я не готов к этому прямо сейчас","Frankly speaking, I'm not ready for it right now","[ˈfræŋkli ˈspi:kɪŋ, aɪm nɒt ˈredi fɔ: ɪt raɪt naʊ]",B2_L228_S11.mp3
12,Мне особенно нравится смотреть обучающие видео,I particularly like watching educational videos,[aɪ pəˈtɪkjʊləli laɪk ˈwɒʧɪŋ ˌedju:ˈkeɪʃənl ˈvɪdɪəʊz],B2_L228_S12.mp3
13,Какая отличная идея!,What an excellent idea!,[wɒt ən ˈeksələnt aɪˈdɪə!],B2_L228_S13.mp3
14,"Вообще говоря, я был полон положительных эмоций","Generally speaking, I was full of positive emotions","[ˈʤenərəli ˈspi:kɪŋ, aɪ wɒz fʊl ɒv ˈpɒzətɪv ɪˈməʊʃənz]",B2_L228_S14.mp3
15,"Ты знаешь, мне нравится заниматься многими вещами","You know, I like doing lots of things","[ju: nəʊ, aɪ laɪk ˈdu:ɪŋ lɒts ɒv θɪŋz]",B2_L228_S15.mp3
16,"В любом случае, я нахожу это довольно трудным","Anyway, I find it rather difficult","[ˈenɪweɪ, aɪ faɪnd ɪt ˈrɑ:ðə ˈdɪfɪkəlt]",B2_L228_S16.mp3
17,Не беспокойся,No worries,[nəʊ ˈwʌriz],B2_L228_S17.mp3
18,"Ну, это началось очень давно","Well, it started a long time ago","[wel, ɪt ˈstɑ:tɪd ə lɒŋ taɪm əˈgəʊ]",B2_L228_S18.mp3
19,Я прекрасно осознаю это,I perfectly realize it,[aɪ ˈpɜ:fɪktli ˈrɪəlaɪz ɪt],B2_L228_S19.mp3
20,"В любом случае, это довольно интересно","Anyway, it's quite interesting","[ˈenɪweɪ, ɪts kwaɪt ˈɪntrɪstɪŋ]",B2_L228_S20.mp3
21,"Более того, путь на работу очень длинный","Moreover, the way to work is very long","[mɔ:ˈrəʊvə, ðə weɪ tu: wɜ:k ɪz ˈveri lɒŋ]",B2_L228_S21.mp3
22,"Я бы действительно хотел сказать, что это стоит сделать",I'd really like to say that it's worth doing,[aɪd ˈrɪəli laɪk tu: seɪ ðæt ɪts wɜ:θ ˈdu:ɪŋ],B2_L228_S22.mp3
23,"По правде говоря, это было так необычно для меня","To tell the truth, it was so unusual for me","[tu: tel ðə tru:θ, ɪt wɒz səʊ ʌnˈju:ʒʊəl fɔ: mi:]",B2_L228_S23.mp3
