sentence_id,prompt_ru,answer_en,transcription,audio_filename
1,Я не могу поверить своим глазам,I can't believe my eyes,[aɪ kɑ:nt bɪˈli:v maɪ aɪz],A0_L23_S1.mp3
2,Ты веришь в Бога?,Do you believe in God?,[du: ju: bɪˈli:v ɪn gɒd?],A0_L23_S2.mp3
3,Как ты живешь на эти деньги?,How do you live on this money?,[haʊ du: ju: lɪv ɒn ðɪs ˈmʌni?],A0_L23_S3.mp3
4,Она получает слишком мало денег,She gets too little money,[ʃi: gets tu: ˈlɪtl ˈmʌni],A0_L23_S4.mp3
5,Он ест слишком много,He eats too much,[hi: i:ts tu: mʌʧ],A0_L23_S5.mp3
6,Он делает ошибки снова и снова,He makes mistakes again and again,[hi: meɪks mɪsˈteɪks əˈgen ænd əˈgen],A0_L23_S6.mp3
7,Я часто хожу туда,I often go there,[aɪ ˈɒfn gəʊ ðeə],A0_L23_S7.mp3
8,Я могу слышать тебя сейчас,I can hear you now,[aɪ kæn hɪə ju: naʊ],A0_L23_S8.mp3
9,Ты можешь взять это,You can take it,[ju: kæn teɪk ɪt],A0_L23_S9.mp3
10,"Я сплю более, чем достаточно",I sleep more than enough,[aɪ sli:p mɔ: ðæn ɪˈnʌf],A0_L23_S10.mp3
11,Он ест слишком много,He eats too much,[hi: i:ts tu: mʌʧ],A0_L23_S11.mp3
12,Я не могу в это поверить,I can't believe it,[aɪ kɑ:nt bɪˈli:v ɪt],A0_L23_S12.mp3
13,Я часто беру его с собой,I often take him with me,[aɪ ˈɒfn teɪk hɪm wɪð mi:],A0_L23_S13.mp3
14,Я ем на работе с моими коллегами,I eat at work with my colleagues,[aɪ i:t æt wɜ:k wɪð maɪ ˈkɒli:gz],A0_L23_S14.mp3
15,Ты можешь взять эти деньги,You can take this money,[ju: kæn teɪk ðɪs ˈmʌni],A0_L23_S15.mp3
16,Она слишком мало спит,She sleeps too little,[ʃi: sli:ps tu: ˈlɪtl],A0_L23_S16.mp3
17,Я слышу тебя лучше сейчас,I hear you better now,[aɪ hɪə ju: ˈbetə naʊ],A0_L23_S17.mp3
