sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Я подумаю над вопросом,I will think over the matter,[aɪ wɪl θɪŋk ˈəʊvə ðə ˈmætə],B2_L204_S2.mp3
3,Когда самолет взлетит?,When will the plane take off?,[wen wɪl ðə pleɪn teɪk ɒf?],B2_L204_S3.mp3
4,Как долго отсутствовали твои родители?,How long were your parents away?,[haʊ lɒŋ wɜ: jɔ: ˈpeərənts əˈweɪ?],B2_L204_S4.mp3
5,Мы отложили обсуждение этих проблем,We put off discussing these problems,[wi: pʊt ɒf dɪsˈkʌsɪŋ ði:z ˈprɒbləmz],B2_L204_S5.mp3
6,Я занимаюсь разными видами спорта,I go in for different kinds of sport,[aɪ gəʊ ɪn fɔ: ˈdɪfrənt kaɪndz ɒv spɔ:t],B2_L204_S6.mp3
7,Еда может испортиться,The food can go off,[ðə fu:d kæn gəʊ ɒf],B2_L204_S7.mp3
8,Довольно легко обойти этот город,It's pretty easy to get round this town,[ɪts ˈprɪti ˈi:zi tu: get raʊnd ðɪs taʊn],B2_L204_S8.mp3
9,Цена упала довольно неожиданно,The price went down quite unexpectedly,[ðə praɪs went daʊn kwaɪt ˌʌnɪksˈpektɪdli],B2_L204_S9.mp3
10,Он отложил поход в спортзал,He put off going to the gym,[hi: pʊt ɒf ˈgəʊɪŋ tu: ðə ʤɪm],B2_L204_S10.mp3
11,"Я знаю, что он никогда нас не подведет",I know that he will never let us down,[aɪ nəʊ ðæt hi: wɪl ˈnevə let ʌs daʊn],B2_L204_S11.mp3
12,Его родители отсутствовали на прошлой неделе,His parents were away last week,[hɪz ˈpeərənts wɜ: əˈweɪ lɑ:st wi:k],B2_L204_S12.mp3
13,Ты уже повесил это на стену?,Have you already put it up on the wall?,[hæv ju: ɔ:lˈredi pʊt ɪt ʌp ɒn ðə wɔ:l?],B2_L204_S13.mp3
14,Я тебя не подведу,I won't let you down,[aɪ wəʊnt let ju: daʊn],B2_L204_S14.mp3
15,Мы отложили обсуждение тех вещей,We put off discussing those things,[wi: pʊt ɒf dɪsˈkʌsɪŋ ðəʊz θɪŋz],B2_L204_S15.mp3
16,Я хотел бы обойти город,I'd like to get around the city,[aɪd laɪk tu: get əˈraʊnd ðə ˈsɪti],B2_L204_S16.mp3
