sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,"Я поддержу тебя, когда тебе это понадобится",I will back you up when you need it,[aɪ wɪl bæk ju: ʌp wen ju: ni:d ɪt],B2_L206_S2.mp3
3,Отбрось все свои страхи в сторону,Put all your fears aside,[pʊt ɔ:l jɔ: fɪəz əˈsaɪd],B2_L206_S3.mp3
4,Некоторые дети обожают наряжаться,Some children enjoy dressing up,[sʌm ˈʧɪldrən ɪnˈʤɔɪ ˈdresɪŋ ʌp],B2_L206_S4.mp3
5,Ты можешь мне это вернуть?,Can you give it back to me?,[kæn ju: gɪv ɪt bæk tu: mi:?],B2_L206_S5.mp3
6,Перестань его унижать!,Stop putting him down!,[stɒp ˈpʊtɪŋ hɪm daʊn!],B2_L206_S6.mp3
7,Позволь еде остыть!,Let the food cool down!,[let ðə fu:d ku:l daʊn!],B2_L206_S7.mp3
8,Я отложил книгу,I put the book away,[aɪ pʊt ðə bʊk əˈweɪ],B2_L206_S8.mp3
9,"Он остыл и осознал, что был не прав",He cooled down and realized that he was wrong,[hi: ku:ld daʊn ænd ˈrɪəlaɪzd ðæt hi: wɒz rɒŋ],B2_L206_S9.mp3
10,Она вернула ему эту книгу,She gave him this book back,[ʃi: geɪv hɪm ðɪs bʊk bæk],B2_L206_S10.mp3
11,Мне нужно положить это,I need to put it down,[aɪ ni:d tu: pʊt ɪt daʊn],B2_L206_S11.mp3
12,Он часто унижает других людей,He often puts down other people,[hi: ˈɒfn pʊts daʊn ˈʌðə ˈpi:pl],B2_L206_S12.mp3
13,Так много магазинов закрывается в наши дни,So many shops close down nowadays,[səʊ ˈmeni ʃɒps kləʊs daʊn ˈnaʊədeɪz],B2_L206_S13.mp3
14,Тебе нужно успокоиться и посмотреть на это более объективно,You need to calm down and look at it more objectively,[ju: ni:d tu: kɑ:m daʊn ænd lʊk æt ɪt mɔ: əbˈʤektɪvli],B2_L206_S14.mp3
15,Я запишу это слово,I will write down this word,[aɪ wɪl raɪt daʊn ðɪs wɜ:d],B2_L206_S15.mp3
16,Остынь!,Cool down!,[ku:l daʊn!],B2_L206_S16.mp3
17,Она часто небрежно одевается,She often dresses down,[ʃi: ˈɒfn ˈdresɪz daʊn],B2_L206_S17.mp3
18,Он в основном имеет дело с поставщиками,He mostly deals with suppliers,[hi: ˈməʊstli di:lz wɪð səˈplaɪəz],B2_L206_S18.mp3
19,Я приду немного позже,I will come along a bit later,[aɪ wɪl kʌm əˈlɒŋ ə bɪt ˈleɪtə],B2_L206_S19.mp3
