sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,Это чрезвычайно популярное телешоу,It is an extremely popular TV show,[ɪt ɪz ən ɪksˈtri:mli ˈpɒpjʊlə ˌti:ˈvi: ʃəʊ],B1_L189_S2.mp3
3,Она очень чувствительный ребенок,She is a very sensitive child,[ʃi: ɪz ə ˈveri ˈsensɪtɪv ʧaɪld],B1_L189_S3.mp3
4,Это такая маленькая сумма денег,It is such a small sum of money,[ɪt ɪz sʌʧ ə smɔ:l sʌm ɒv ˈmʌni],B1_L189_S4.mp3
5,Они предложили нам специальную цену,They offered us a special price,[ðeɪ ˈɒfəd ʌs ə ˈspeʃəl praɪs],B1_L189_S5.mp3
6,Очень трудно оставаться бесстрастным в такой ситуации,It's very difficult to stay unemotional in this situation,[ɪts ˈveri ˈdɪfɪkəlt tu: steɪ ˌʌnɪˈməʊʃənl ɪn ðɪs ˌsɪtjʊˈeɪʃən],B1_L189_S6.mp3
7,Она очень чувствительна к критике других людей,She is very sensitive to other people's criticism,[ʃi: ɪz ˈveri ˈsensɪtɪv tu: ˈʌðə ˈpi:plz ˈkrɪtɪsɪzm],B1_L189_S7.mp3
8,"Я не могу сказать, что я полностью удовлетворен нынешней ситуацией",I can't say that I'm fully satisfied with the present situation,[aɪ kɑ:nt seɪ ðæt aɪm ˈfʊli ˈsætɪsfaɪd wɪð ðə ˈpreznt ˌsɪtjʊˈeɪʃən],B1_L189_S8.mp3
9,Я храню свои документы в безопасном месте,I keep my documents in a secure place,[aɪ ki:p maɪ ˈdɒkjʊmənts ɪn ə sɪˈkjʊə pleɪs],B1_L189_S9.mp3
10,Он старался быть спокойным и бесстрастным,He tried to be calm and unemotional,[hi: traɪd tu: bi: kɑ:m ænd ˌʌnɪˈməʊʃənl],B1_L189_S10.mp3
11,Когда завтра будет открыт банк?,When will the bank be open tomorrow?,[wen wɪl ðə bæŋk bi: ˈəʊpən təˈmɒrəʊ?],B1_L189_S11.mp3
12,Мой друг не обращает внимания на такие мелкие ошибки,My friend doesn't pay attention to such small mistakes,[maɪ frend dʌznt peɪ əˈtenʃn tu: sʌʧ smɔ:l mɪsˈteɪks],B1_L189_S12.mp3
