sentence_id,prompt_ru,answer_en,transcription,audio_filename
2,"Как я вижу, это действительно работает","As I see, it really works","[æz aɪ si:, ɪt ˈrɪəli wɜ:ks]",B1_L181_S2.mp3
3,"Он хочет иметь более мощный компьютер, чем его",He wants to have a more powerful computer than his,[hi: wɒnts tu: hæv ə mɔ: ˈpaʊəfəl kəmˈpju:tə ðæn hɪz],B1_L181_S3.mp3
4,"Он знает английский лучше, чем он",He knows English better than him,[hi: nəʊz ˈɪŋglɪʃ ˈbetə ðæn hɪm],B1_L181_S4.mp3
5,"Насколько я понимаю, это единственно правильное решение","As far as I understand, it's the only right decision","[æz fɑ:r æz aɪ ˌʌndəˈstænd, ɪts ði ˈəʊnli raɪt dɪˈsɪʒən]",B1_L181_S5.mp3
6,"У нее гораздо больше свободного времени, чем у меня",She has much more free time than me,[ʃi: hæz mʌʧ mɔ: fri: taɪm ðæn mi:],B1_L181_S6.mp3
7,"Насколько я знаю, это более дешевый отель","As far as I know, it's a cheaper hotel","[æz fɑ:r æz aɪ nəʊ, ɪts ə ˈʧi:pə həʊˈtel]",B1_L181_S7.mp3
8,"Как я вижу, это действительно работает","As I see, it really works","[æz aɪ si:, ɪt ˈrɪəli wɜ:ks]",B1_L181_S8.mp3
9,"Этот бизнес намного прибыльнее, чем их",This business is much more profitable than theirs,[ðɪs ˈbɪznɪs ɪz mʌʧ mɔ: ˈprɒfɪtəbl ðæn ðeəz],B1_L181_S9.mp3
10,"Насколько я знаю, это стоит приблизительно две тысячи долларов","As far as I know, it costs approximately two thousand dollars","[æz fɑ:r æz aɪ nəʊ, ɪt kɒsts əˈprɒksɪmɪtli tu: ˈθaʊzənd ˈdɒləz]",B1_L181_S10.mp3
11,"Он зарабатывает гораздо меньше денег, чем он",He earns much less money than him,[hi: ɜ:nz mʌʧ les ˈmʌni ðæn hɪm],B1_L181_S11.mp3
12,Это было одно из самых трудных решений для меня,It was one of the most difficult decision for me,[ɪt wɒz wʌn ɒv ðə məʊst ˈdɪfɪkəlt dɪˈsɪʒən fɔ: mi:],B1_L181_S12.mp3
13,"Его жена на год моложе, чем он",His wife is a year younger than him,[hɪz waɪf ɪz ə jɪə ˈjʌŋə ðæn hɪm],B1_L181_S13.mp3
14,Это самая богатая компания в мире,It is the richest company in the world,[ɪt ɪz ðə ˈrɪʧɪst ˈkʌmpəni ɪn ðə wɜ:ld],B1_L181_S14.mp3
15,"Она хочет иметь более просторную квартиру, чем у них",She wants to have a more spacious apartment than theirs,[ʃi: wɒnts tu: hæv ə mɔ: ˈspeɪʃəs əˈpɑ:tmənt ðæn ðeəz],B1_L181_S15.mp3
